match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
1749,0,0,127,0,7,1876,1883,0,1883,0,127,0,0,0,DCLS,GPHL,[],[],SRR32566846_Influenza_B_4,1876,1749
1749,0,0,127,0,7,1876,1883,0,1883,0,127,0,0,0,DCLS,MDH,[],[],SRR32566846_Influenza_B_4,1876,1749
1876,0,7,0,0,0,1883,1883,0,1883,0,0,0,0,7,DCLS,UMN,[],[],SRR32566846_Influenza_B_4,1876,1883
1870,0,0,6,0,7,1876,1883,0,1883,0,6,0,0,0,DCLS,WADDL,[],[],SRR32566846_Influenza_B_4,1876,1870
1749,0,0,0,0,134,1749,1883,0,1883,0,0,0,0,0,GPHL,MDH,[],[],SRR32566846_Influenza_B_4,1749,1749
1749,0,134,0,0,0,1883,1883,0,1883,0,0,0,127,7,GPHL,UMN,[],[],SRR32566846_Influenza_B_4,1749,1883
1749,0,121,0,0,13,1870,1883,0,1883,0,0,0,121,0,GPHL,WADDL,[],[],SRR32566846_Influenza_B_4,1749,1870
1749,0,134,0,0,0,1883,1883,0,1883,0,0,0,127,7,MDH,UMN,[],[],SRR32566846_Influenza_B_4,1749,1883
1749,0,121,0,0,13,1870,1883,0,1883,0,0,0,121,0,MDH,WADDL,[],[],SRR32566846_Influenza_B_4,1749,1870
1870,0,0,13,0,0,1883,1883,0,1883,0,6,7,0,0,UMN,WADDL,[],[],SRR32566846_Influenza_B_4,1883,1870
