match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
26134,1,0,7,0,4039,26142,28921,1260,26472,3709,0,7,0,0,DCLS,GPHL,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29805,29879
27998,0,11,0,5,2167,28014,28921,1260,28497,1684,0,0,0,11,DCLS,UMN,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29805,29912
28136,0,0,7,7,2031,28150,28921,1260,28481,1700,0,7,0,0,DCLS,VCU,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29805,29879
28545,0,83,0,0,1553,28628,28921,1260,30181,0,0,0,77,6,DCLS,WADDL,[np.str_('N')],[],SRR21643274_SARS-CoV-2,29805,29388
28542,1,16,0,1,1621,28560,28921,1260,29441,740,0,0,0,16,DCLS,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29805,29877
28539,1,17,3,1,1620,28561,28921,1260,29504,677,3,0,0,17,DCLS,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29805,29803
26071,1,18,0,4,4087,26094,26472,3709,28497,1684,0,0,0,18,GPHL,UMN,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29879,29912
26158,1,0,0,1,4021,26160,26472,3709,28481,1700,0,0,0,0,GPHL,VCU,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29879,29879
26169,1,24,0,0,3987,26194,26472,3709,30181,0,0,0,11,13,GPHL,WADDL,[np.str_('N')],[],SRR21643274_SARS-CoV-2,29879,29388
26167,2,7,0,1,4004,26177,26472,3709,29441,740,0,0,0,7,GPHL,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29879,29877
26164,2,7,3,1,4004,26177,26472,3709,29504,677,3,0,0,7,GPHL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29879,29803
27801,0,0,18,12,2350,27831,28497,1684,28481,1700,0,18,0,0,UMN,VCU,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29912,29879
28199,0,12,24,5,1941,28240,28497,1684,30181,0,6,18,11,1,UMN,WADDL,[np.str_('N')],[],SRR21643274_SARS-CoV-2,29912,29388
28212,1,1,11,4,1952,28229,28497,1684,29441,740,0,11,0,1,UMN,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29912,29877
28203,1,1,20,4,1952,28229,28497,1684,29504,677,9,11,0,1,UMN,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29912,29803
28170,0,24,1,8,1978,28203,28481,1700,30181,0,1,0,11,13,VCU,WADDL,[np.str_('N')],[],SRR21643274_SARS-CoV-2,29879,29388
28169,1,7,0,9,1995,28186,28481,1700,29441,740,0,0,0,7,VCU,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29879,29877
28165,1,7,4,9,1995,28186,28481,1700,29504,677,4,0,0,7,VCU,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29879,29803
29082,1,50,17,4,1027,29154,30181,0,29441,740,11,6,9,41,WADDL,WAPHL,[],[np.str_('N')],SRR21643274_SARS-CoV-2,29388,29877
29079,1,42,69,4,986,29195,30181,0,29504,677,63,6,0,42,WADDL,WAPHL_custom,[],[np.str_('N')],SRR21643274_SARS-CoV-2,29388,29803
29125,0,0,12,0,1044,29137,29441,740,29504,677,12,0,0,0,WAPHL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643274_SARS-CoV-2,29877,29803
